"b_price_cn","b_price_jp","b_organic_att","b_spec_att","asc_nobuy_att","asc_nobuy_no","delta_att","gamma_eio_att","gamma_eis_att","gamma_eios_att","logLike"
-0.167048470415004,-0.0265391585903395,1.67466198837041,1.56239748503363,-7.95015818177768,-2.10541597796436,2.62678259884357,-1.18275587292542,-1.66225042951098,-1.31138904625805,-4732.81151462316
-0.169107019936804,-0.0259212906688928,1.58040149087438,1.36728988692996,-7.89879258350255,-2.08855490376979,2.35220081974769,-0.774372414156211,-1.18604799039497,-0.931644391219117,-4705.16037794039
-0.162962484058968,-0.0233992589142368,1.33104507125872,1.13620800016086,-7.45363091976625,-1.88560478330379,1.58056731118999,0.204803420362921,-0.183528235251683,-0.0136362853516584,-4671.51546926669
-0.162388655287643,-0.0223105940749199,1.30221776541675,1.14171566173038,-7.18148386139929,-1.87145518810813,1.46688150911482,0.325532823529605,-0.0933891531770257,0.0911833064915277,-4661.12862517517
-0.163995311820361,-0.0205010420790145,1.28237393671946,1.16459882717231,-6.72224489179724,-1.92853917765816,1.40518112505979,0.338647654110633,-0.132009981142706,0.0902794623701205,-4645.5361145256
-0.166302841845766,-0.0196993979576462,1.2810108707623,1.17947962733642,-6.56781945413038,-2.02513971212858,1.41456155907884,0.253482364167896,-0.233459266144869,0.0111327627760585,-4637.62243701356
-0.172471909908627,-0.01729981569296,1.2644815488826,1.22668556516988,-6.27943180243831,-2.3015047322352,1.39250420388984,0.0623467015503204,-0.436135717947336,-0.140021199342637,-4614.80222133966
-0.172954640067609,-0.0173715462695099,1.2648882637228,1.21858823273236,-6.51291061926124,-2.35882357150171,1.25313045901177,0.133050667742735,-0.388223860358631,-0.107616981568536,-4611.29808688761
-0.173928998985746,-0.017250982727662,1.26034773184224,1.22144523324109,-6.70460822174521,-2.40461584060908,1.2288677611469,0.155345793323751,-0.387646127941611,-0.0904270574746798,-4609.98293426834
-0.174501164632348,-0.0172421526190989,1.25959629287188,1.22497748779512,-6.75127376699982,-2.41911017053413,1.25242955992968,0.136463623370281,-0.398308363943079,-0.0966226078851741,-4609.8648829258
-0.174784999929912,-0.0172808621608456,1.25986871343595,1.22709204613149,-6.75617023515031,-2.42359066972789,1.26751635832734,0.1245736744666,-0.404084086145837,-0.101810469572408,-4609.83306097259
-0.175054016909942,-0.0173357186835127,1.26031697112696,1.22905079081901,-6.76037769568779,-2.4276715233345,1.27580106340893,0.117657303109297,-0.406961054348087,-0.105132569707544,-4609.81880503912
-0.175133789700877,-0.0173523705510613,1.2603497917607,1.22934608650124,-6.7614956612618,-2.42853483757393,1.27417074571041,0.118758898557481,-0.405829701777466,-0.104676888208505,-4609.8167853768
-0.175194288466895,-0.0173587869934282,1.26028732034186,1.22936790278103,-6.76171211203256,-2.42876863262943,1.27159433386656,0.120689180742476,-0.404327994151407,-0.103748395863219,-4609.81605790213
-0.175229472071861,-0.0173579360873909,1.26024284868122,1.22933345785549,-6.76147505586174,-2.42870014927257,1.27044560667679,0.121553595348862,-0.403685517466341,-0.103306190639679,-4609.81586370256
-0.175262773950449,-0.0173554359532529,1.26022110144683,1.22931419874126,-6.76114775513891,-2.42857783690919,1.26989691492033,0.12194962142959,-0.403385646830328,-0.103097307957626,-4609.81576889131
-0.175276174971593,-0.0173538274737419,1.26023030075276,1.22932235298575,-6.76099378153798,-2.42850675407027,1.27002894958381,0.121830772646057,-0.403462107229028,-0.103157365722293,-4609.8157453999
-0.175280277438946,-0.0173530758004294,1.26024642021206,1.22933638740704,-6.76094421699665,-2.4284692945829,1.2702931336861,0.121619932905894,-0.403607282721804,-0.103267997129442,-4609.81573920709
-0.175279547544869,-0.017353047395599,1.26025419481381,1.22934247387992,-6.7609557413948,-2.42846046529568,1.2704156379899,0.121526340592464,-0.403671952198379,-0.103318260815196,-4609.8157384842
-0.175278817952606,-0.0173531174652939,1.2602565961791,1.22934387518032,-6.76096750246341,-2.42845716337251,1.27044574280415,0.121505621716696,-0.403685580331583,-0.103329636387876,-4609.81573840943
