"b_price_cn_1","b_price_jp_1","b_organic_1","b_spec_1","asc_nobuy_1","b_price_cn_2","b_price_jp_2","b_organic_2","b_spec_2","asc_nobuy_2","delta_class2","gamma_china_class2","gamma_seg1_class2","gamma_seg2_class2","gamma_seg3_class2","gamma_seg4_class2","logLike"
-0.122633504459693,-0.0188809511347117,1.18318129971787,1.1123332390681,-6.80727976096762,-0.401761563012737,-0.0186662095814579,-0.743479252335806,-0.0791669094297465,-3.85819323128742,-1.65248610132226,0.458759645276093,0.305135180199386,0.353115355411435,0.186966007036343,-0.629125361667929,-4416.12340519389
-0.11937742205852,-0.0261901335639507,1.42407947617173,1.16555530742329,-9.47320529719624,-0.24480112944002,-0.0140439544688378,-0.404009296161776,0.0832684532017742,-2.77525439859247,-1.600117402415,0.826117284767801,0.0453362382040288,0.333189483875101,0.260551006290529,-0.514402909645136,-4374.75835127934
-0.118433527889044,-0.0251129425335501,1.3964991261179,1.21896263973002,-9.13497216858089,-0.262209093368521,-0.014735820708854,-0.336542606861273,0.0615543542631099,-2.90709509372357,-1.6085027746369,0.805349334369482,0.0344414003509021,0.234949042837314,0.220198976202611,-0.289634164194801,-4372.63771750604
-0.11991371114103,-0.0252851631026257,1.40674521775211,1.22066956143285,-9.21300869623524,-0.260776117148547,-0.0144550457839646,-0.310466895508685,0.0964632309322717,-2.82953547720655,-1.6161522799194,0.799495962191413,0.108606770405157,0.282805046499262,0.276888472633073,-0.316878998525968,-4371.72029801726
-0.118285899544206,-0.0252311302747301,1.36681892024643,1.20440201050032,-9.36932349637415,-0.268852067943653,-0.0146821575142126,-0.167447818047981,0.14341415142453,-2.81200340375477,-1.50996173325566,0.616345622842115,0.246976207342175,0.288195630474719,0.175891207409439,-0.453873895220993,-4370.71794509439
-0.119931303669671,-0.0254235154922215,1.38539163628189,1.21115758259338,-9.40354345685835,-0.262658260403608,-0.0143567539894432,-0.275203325054177,0.111559265892502,-2.79600530668124,-1.55720022860733,0.702519893697915,0.170047695868482,0.281493450029319,0.186774143239305,-0.385605635252425,-4370.44354216388
-0.119949079906973,-0.0254832983371287,1.38084587098779,1.21185872370631,-9.43683418995638,-0.267421013915427,-0.0145803818609554,-0.205743748353861,0.129652042546571,-2.81096698119259,-1.53740018726163,0.664920439994011,0.225325862405964,0.285188124956263,0.183466967623212,-0.419934865956589,-4370.32024156575
-0.120516893553784,-0.0255700902057911,1.38613930450368,1.21434435123082,-9.45647266296468,-0.264667636386403,-0.0144226845719661,-0.251218385342884,0.117408033196389,-2.79977159066141,-1.54457583440615,0.683877906504841,0.188268968523903,0.281007737305962,0.183160052040866,-0.399781112172822,-4370.26056218477
-0.120611985509765,-0.0256166905708708,1.38512971720669,1.21492114386378,-9.47467747137805,-0.26666143835615,-0.0145197293234478,-0.223802980625728,0.123882655913629,-2.80812406054353,-1.53964930960181,0.672656939735636,0.210598457139381,0.282942744898111,0.182963576693097,-0.411132779570976,-4370.22952520689
-0.120865722900393,-0.0256655450252315,1.38738545253336,1.21622874253758,-9.4872833051089,-0.265591317728969,-0.0144565840998033,-0.241703887441428,0.119138853355904,-2.8035740439411,-1.54134589695827,0.678564106438795,0.195558476399281,0.280999679305,0.182353386116154,-0.403695874126785,-4370.21283335533
