ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIOS	EIC	EIS	EIO	SEG2	SEG3	SEG4	SEG5	SEG1				
11005	170	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
11005	250	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
11005	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
11006	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
11006	330	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
11006	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
11007	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
11007	170	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
11007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
11008	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
11008	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
11008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12001	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
12001	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
12001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12002	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
12002	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
12002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12003	330	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
12003	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
12003	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12004	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
12004	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
12004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12005	170	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
12005	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
12005	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12006	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
12006	330	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
12006	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12007	290	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
12007	170	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
12007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
12008	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
12008	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
12008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
13001	210	0	0	1	1	1	0	0	0	1	0	0	1	0	0				
13001	170	0	0	1	0	1	0	0	0	1	0	0	1	0	0				
13001	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13002	250	0	1	0	1	1	0	0	0	1	0	0	1	0	0				
13002	210	0	0	1	0	1	0	0	0	1	0	0	1	0	0				
13002	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13003	330	0	1	0	1	1	0	0	0	1	0	0	1	0	0				
13003	330	1	0	0	0	1	0	0	0	1	0	0	1	0	0				
13003	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13004	170	0	0	1	0	1	0	0	0	1	0	0	1	0	0				
13004	290	0	1	0	1	1	0	0	0	1	0	0	1	0	0				
13004	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13005	170	1	0	0	0	1	0	0	0	1	0	0	1	0	0				
13005	250	0	0	1	1	1	0	0	0	1	0	0	1	0	0				
13005	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13006	250	0	0	1	0	1	0	0	0	1	0	0	1	0	0				
13006	330	0	1	0	1	1	0	0	0	1	0	0	1	0	0				
13006	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13007	290	0	1	0	1	1	0	0	0	1	0	0	1	0	0				
13007	170	1	0	0	0	1	0	0	0	1	0	0	1	0	0				
13007	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
13008	330	1	0	0	1	1	0	0	0	1	0	0	1	0	0				
13008	250	0	1	0	0	1	0	0	0	1	0	0	1	0	0				
13008	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0				
14001	210	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
14001	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
14001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14002	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
14002	210	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
14002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14003	330	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
14003	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
14003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14004	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
14004	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
14004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14005	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
14005	250	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
14005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14006	250	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
14006	330	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
14006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14007	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
14007	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
14007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
14008	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
14008	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
14008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
15001	210	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
15001	170	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
15001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15002	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15002	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
15002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15003	330	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15003	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
15003	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15004	170	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
